region,ev_sales,ev_penetration_rate,charging_stations,Battery Technology Route,Regional Market Differences,Policy Tools,Supply Chain,charging_policy_interaction
Australia,98000.0,12.0,2760.0,0.21052631578947367,0.015789473684210523,0.30394736842105263,0.17105263157894737,0.004799168975069251
Austria,65000.0,26.0,17500.0,0.1513157894736842,0.45789473684210524,0.4789473684210526,0.1973684210526316,0.2193074792243767
Belgium,193000.0,41.0,44000.0,0.3157894736842105,0.3789473684210526,0.6078947368421053,0.30000000000000004,0.23036011080332408
Brazil,52000.0,3.0,3804.9000000953674,0.11842105263157894,0.047368421052631574,0.12894736842105262,0.08421052631578947,0.006108033240997229
Canada,171000.0,13.0,26800.0,0.29605263157894735,0.26842105263157895,0.33157894736842103,0.2131578947368421,0.08900277008310249
Chile,920.0,0.310000002384186,1070.0,0.013157894736842105,0.5842105263157895,0.03684210526315789,0.015789473684210527,0.021523545706371192
China,24300000.0,38.0,8100000.0,0.4868421052631579,0.5210526315789473,0.5710526315789474,0.35789473684210527,0.2975484764542936
China,24300000.0,38.0,8100000.0,0.4868421052631579,0.5210526315789473,0.5710526315789474,0.35789473684210527,0.2975484764542936
China,24300000.0,38.0,8100000.0,0.4868421052631579,0.5210526315789473,0.5710526315789474,0.35789473684210527,0.2975484764542936
China,24300000.0,38.0,8100000.0,0.4868421052631579,0.5210526315789473,0.5710526315789474,0.35789473684210527,0.2975484764542936
China,24300000.0,38.0,8100000.0,0.4868421052631579,0.5210526315789473,0.5710526315789474,0.35789473684210527,0.2975484764542936
China,24300000.0,38.0,8100000.0,0.4868421052631579,0.5210526315789473,0.5710526315789474,0.35789473684210527,0.2975484764542936
China,24300000.0,38.0,8100000.0,0.4868421052631579,0.5210526315789473,0.5710526315789474,0.35789473684210527,0.2975484764542936
China,24300000.0,38.0,8100000.0,0.4868421052631579,0.5210526315789473,0.5710526315789474,0.35789473684210527,0.2975484764542936
China,24300000.0,38.0,8100000.0,0.4868421052631579,0.5210526315789473,0.5710526315789474,0.35789473684210527,0.2975484764542936
Denmark,80000.0,46.0,17000.0,0.19736842105263158,0.3473684210526316,0.6263157894736842,0.2578947368421053,0.2175623268698061
EU27,2450000.0,22.0,592000.0,0.42105263157894735,0.39473684210526316,0.4052631578947368,0.28421052631578947,0.15997229916897507
Finland,48000.0,54.0,12100.0,0.10526315789473684,0.4421052631578947,0.644736842105263,0.22631578947368422,0.28504155124653735
France,470000.0,25.0,118000.0,0.39473684210526316,0.4263157894736842,0.4605263157894737,0.2894736842105263,0.19632963988919666
Germany,700000.0,24.0,108000.0,0.40789473684210525,0.2526315789473684,0.4328947368421053,0.2868421052631579,0.10936288088642658
Greece,17000.0,14.0,5130.0,0.06578947368421052,0.4894736842105263,0.3592105263157895,0.12894736842105264,0.17582409972299168
Iceland,12400.0,71.0,1560.0,0.039473684210526314,0.11052631578947368,0.6815789473684211,0.21052631578947367,0.07533240997229916
India,246810.0,2.0,32700.0,0.35526315789473684,0.1894736842105263,0.09210526315789473,0.16842105263157894,0.01745152354570637
India,246810.0,2.0,32700.0,0.35526315789473684,0.1894736842105263,0.09210526315789473,0.16842105263157894,0.01745152354570637
India,246810.0,2.0,32700.0,0.35526315789473684,0.1894736842105263,0.09210526315789473,0.16842105263157894,0.01745152354570637
India,246810.0,2.0,32700.0,0.35526315789473684,0.1894736842105263,0.09210526315789473,0.16842105263157894,0.01745152354570637
India,246810.0,2.0,32700.0,0.35526315789473684,0.1894736842105263,0.09210526315789473,0.16842105263157894,0.01745152354570637
India,246810.0,2.0,32700.0,0.35526315789473684,0.1894736842105263,0.09210526315789473,0.16842105263157894,0.01745152354570637
India,246810.0,2.0,32700.0,0.35526315789473684,0.1894736842105263,0.09210526315789473,0.16842105263157894,0.01745152354570637
India,246810.0,2.0,32700.0,0.35526315789473684,0.1894736842105263,0.09210526315789473,0.16842105263157894,0.01745152354570637
India,246810.0,2.0,32700.0,0.35526315789473684,0.1894736842105263,0.09210526315789473,0.16842105263157894,0.01745152354570637
Israel,65000.0,19.0,4910.0,0.1513157894736842,0.0631578947368421,0.38684210526315793,0.1710526315789474,0.02443213296398892
Italy,136000.0,9.19999980926514,48100.0,0.2631578947368421,0.5526315789473684,0.2026315789473684,0.1631578947368421,0.11198060941828253
Japan,140000.0,3.59999990463257,31600.0,0.27631578947368424,0.36315789473684207,0.14736842105263157,0.15263157894736845,0.0535180055401662
Korea,132000.0,7.90000009536743,201000.0,0.25,0.6,0.18421052631578946,0.15263157894736842,0.11052631578947368
Mexico,15200.0,1.29999995231628,2076.0,0.05263157894736842,0.22105263157894736,0.055263157894736833,0.03684210526315789,0.012216066481994458
Netherlands,210000.0,35.0,145800.0,0.32894736842105265,0.5684210526315789,0.5342105263157895,0.28421052631578947,0.30365650969529084
New Zealand,38000.0,14.0,1140.0,0.09210526315789473,0.03157894736842105,0.3592105263157895,0.13947368421052633,0.01134349030470914
Norway,110000.0,93.0,27000.0,0.2236842105263158,0.4105263157894737,0.7,0.2894736842105263,0.28736842105263155
Poland,30000.0,6.59999990463257,5900.0,0.07894736842105263,0.28421052631578947,0.16578947368421051,0.07894736842105264,0.0471191135734072
Portugal,63000.0,32.0,9400.0,0.13157894736842105,0.23684210526315788,0.5157894736842105,0.2,0.12216066481994457
South Africa,1080.0,0.28999999165535,300.0,0.02631578947368421,0.47368421052631576,0.018421052631578946,0.015789473684210527,0.008725761772853185
Spain,122000.0,12.0,25600.0,0.23684210526315788,0.3315789473684211,0.30394736842105263,0.18157894736842106,0.1007825484764543
Sweden,171000.0,60.0,34500.0,0.29605263157894735,0.3,0.6631578947368421,0.3078947368421052,0.19894736842105262
Switzerland,76000.0,30.0,15800.0,0.18421052631578946,0.3157894736842105,0.4973684210526315,0.21578947368421053,0.15706371191135732
Turkiye,68700.0,10.0,7800.0,0.17105263157894737,0.07894736842105263,0.2763157894736842,0.1473684210526316,0.02181440443213296
USA,4170000.0,9.5,549000.0,0.4473684210526316,0.14210526315789473,0.2394736842105263,0.2473684210526316,0.03403047091412742
USA,4170000.0,9.5,549000.0,0.4473684210526316,0.14210526315789473,0.2394736842105263,0.2473684210526316,0.03403047091412742
USA,4170000.0,9.5,549000.0,0.4473684210526316,0.14210526315789473,0.2394736842105263,0.2473684210526316,0.03403047091412742
USA,4170000.0,9.5,549000.0,0.4473684210526316,0.14210526315789473,0.2394736842105263,0.2473684210526316,0.03403047091412742
USA,4170000.0,9.5,549000.0,0.4473684210526316,0.14210526315789473,0.2394736842105263,0.2473684210526316,0.03403047091412742
USA,4170000.0,9.5,549000.0,0.4473684210526316,0.14210526315789473,0.2394736842105263,0.2473684210526316,0.03403047091412742
USA,4170000.0,9.5,549000.0,0.4473684210526316,0.14210526315789473,0.2394736842105263,0.2473684210526316,0.03403047091412742
USA,4170000.0,9.5,549000.0,0.4473684210526316,0.14210526315789473,0.2394736842105263,0.2473684210526316,0.03403047091412742
USA,4170000.0,9.5,549000.0,0.4473684210526316,0.14210526315789473,0.2394736842105263,0.2473684210526316,0.03403047091412742
United Kingdom,450000.0,24.0,53000.0,0.3815789473684211,0.09473684210526315,0.4328947368421053,0.27631578947368424,0.041011080332409966
